tag,precision,recall,f1_score,support
NOUN,0.875,0.9807949231796927,0.9248818897637795,5988
VERB,0.966094934184284,0.8498245614035088,0.9042374463319022,2850
ADJ,0.9205128205128205,0.7867056245434624,0.8483654982276487,1369
ADV,0.9295774647887324,0.7799113737075333,0.8481927710843373,677
PRON,0.9979253112033195,0.9449901768172888,0.970736629667003,509
DET,0.9959331224582015,0.9910071942446043,0.9934640522875817,2224
ADP,0.9426057813154587,0.9286009079653322,0.9355509355509356,2423
NUM,0.9972067039106145,0.8095238095238095,0.8936170212765957,441
CONJ,0.9961685823754789,0.9980806142034548,0.99712368168744,521
PRT,0.7165775401069518,0.8571428571428571,0.7805825242718447,469
.,1.0,1.0,1.0,2309
X,1.0,0.35714285714285715,0.5263157894736842,14
